state,barrels,craft_brewers,state_rank
DC,33025,12,49
MS,30254,12,49
ND,12848,12,49
SD,14057,16,48
RI,26295,17,47
HI,69561,18,46
DE,292741,21,45
WV,12989,23,44
WY,45401,24,43
OK,52807,27,42
UT,206529,30,41
LA,215168,33,40
AL,62738,34,39
SC,108211,61,39
AR,42294,35,38
KS,46725,36,36
NV,64621,40,35
NE,53655,49,34
KY,125302,52,33
ID,90318,54,32
VT,292479,55,31
NH,103329,58,30
CT,"166,848",60,29
NM,116023,67,27
GA,408798,69,26
MD,293298,73,25
MT,188449,75,24
IA,78946,76,23
TN,253782,82,22
NJ,139562,90,21
MO,372840,91,20
AZ,147728,96,19
ME,319590,99,18
MA,584895,129,17
IN,240063,137,16
MN,650974,158,15
WI,1029916,160,14
VA,358903,190,13
IL,385874,200,12
OH,1355279,225,11
FL,1408032,243,10
TX,1156536,251,9
NC,1211393,257,8
OR,1078391,266,7
AK,204302,36,6
PA,3724010,282,6
NY,1211494,329,5
MI,873995,330,4
CO,1523204,348,3
WA,510682,369,2
CA,3285525,764,1
